sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Direct Object,Indirect Object,"""Of"" Object",Mark,Subject,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb
"More characteristically , in another poem of 1946 , aqueous singing brings not women whom the poet wo n't accept , but news of sheer physical death .","More/RBR characteristically/JJ ,/, in/IN another/DT poem/NN of/IN 1946/CD ,/, aqueous/NNS singing/NN brings/VBZ not/RB women/NNS whom/WP the/DT poet/NN wo/MD n't/RB accept/VB ,/, but/CC news/NN of/IN sheer/JJ physical/JJ death/NN ./.","advmod(characteristically-2, More-1) amod(singing-11, characteristically-2) case(poem-6, in-4) det(poem-6, another-5) dep(characteristically-2, poem-6) case(1946-8, of-7) nmod:of(poem-6, 1946-8) compound(singing-11, aqueous-10) nsubj(brings-12, singing-11) root(ROOT-0, brings-12) neg(brings-12, not-13) dobj(brings-12, women-14) det(poet-17, women-14) ref(women-14, whom-15) det(poet-17, the-16) nsubj(accept-20, poet-17) aux(accept-20, wo-18) neg(accept-20, n't-19) acl:relcl(women-14, accept-20) cc(accept-20, but-22) acl:relcl(women-14, news-23) conj:but(accept-20, news-23) case(death-27, of-24) amod(death-27, sheer-25) amod(death-27, physical-26) nmod:of(news-23, death-27)  ",singing,11,"amod(singing-11, characteristically-2) compound(singing-11, aqueous-10) nsubj(brings-12, singing-11) ","poem of 1946 , aqueous singing brings not women whom the",NN,[],brings,VBZ,subject,['not'],[],[],[],[],[],[],[],[],[],[],[],['aqueous'],['characteristically'],[],[],[],[],[],[],,,singular,singular
"It 's not from sirens singing nor from human voices waking us that we drown : PREFORMATTED TABLE <p> That is the persistent Larkin note , transcending sexual failure , early and late , whose terrestial terminus is down Cemetery Road .","It/PRP 's/VBZ not/RB from/IN sirens/JJ singing/NN nor/CC from/IN human/JJ voices/NNS waking/VBG us/PRP that/IN we/PRP drown/VB :/: PREFORMATTED/NNP TABLE/NNP <p>/VBP That/DT is/VBZ the/DT persistent/JJ Larkin/NNP note/NN ,/, transcending/VBG sexual/JJ failure/NN ,/, early/JJ and/CC late/JJ ,/, whose/WP$ terrestial/JJ terminus/NNS is/VBZ down/IN Cemetery/NNP Road/NNP ./.","nsubj('s-2, It-1) root(ROOT-0, 's-2) advmod(nor-7, not-3) case(singing-6, from-4) amod(singing-6, sirens-5) nmod:from(not-3, singing-6) advmod('s-2, nor-7) case(voices-10, from-8) amod(voices-10, human-9) conj(nor-7, voices-10) acl(voices-10, waking-11) dobj(waking-11, us-12) mark(drown-15, that-13) nsubj(drown-15, we-14) ccomp(waking-11, drown-15) compound(TABLE-18, PREFORMATTED-17) nsubj(<p>-19, TABLE-18) parataxis('s-2, <p>-19) nsubj(note-25, That-20) cop(note-25, is-21) det(note-25, the-22) amod(note-25, persistent-23) compound(note-25, Larkin-24) ccomp(<p>-19, note-25) advcl(note-25, transcending-27) amod(failure-29, sexual-28) dobj(transcending-27, failure-29) amod(failure-29, early-31) cc(early-31, and-32) amod(failure-29, late-33) conj:and(early-31, late-33) dep(Road-41, whose-35) amod(terminus-37, terrestial-36) nsubj(Road-41, terminus-37) cop(Road-41, is-38) case(Road-41, down-39) compound(Road-41, Cemetery-40) dep(failure-29, Road-41)  ",singing,6,"case(singing-6, from-4) amod(singing-6, sirens-5) nmod:from(not-3, singing-6) ",It 's not from sirens singing nor from human voices waking,NN,[],,,,,[],[],[],[],[],"[('from', 'not')]",['from'],['not'],[],[],[],[],['sirens'],[],[],['PREFORMATTED'],['from'],[],[],PREFORMATTED,other,singular,
"They commenced always with singing , which quickly attracted a congregation , and were followed by prayer , and a plain , practical sermon , in which the great doctrines of justification by faith , evangelical repentance , and the new birth were set forth in the simplest language .","They/PRP commenced/VBD always/RB with/IN singing/NN ,/, which/WDT quickly/RB attracted/VBD a/DT congregation/NN ,/, and/CC were/VBD followed/VBN by/IN prayer/NN ,/, and/CC a/DT plain/JJ ,/, practical/JJ sermon/NN ,/, in/IN which/WDT the/DT great/JJ doctrines/NNS of/IN justification/NN by/IN faith/NN ,/, evangelical/JJ repentance/NN ,/, and/CC the/DT new/JJ birth/NN were/VBD set/VBN forth/RP in/IN the/DT simplest/JJS language/NN ./.","nsubj(commenced-2, They-1) root(ROOT-0, commenced-2) advmod(commenced-2, always-3) case(singing-5, with-4) nmod:with(commenced-2, singing-5) nsubj(attracted-9, singing-5) nsubjpass(followed-15, singing-5) ref(singing-5, which-7) advmod(attracted-9, quickly-8) acl:relcl(singing-5, attracted-9) det(congregation-11, a-10) dobj(attracted-9, congregation-11) cc(attracted-9, and-13) auxpass(followed-15, were-14) acl:relcl(singing-5, followed-15) conj:and(attracted-9, followed-15) case(prayer-17, by-16) nmod:by(followed-15, prayer-17) cc(singing-5, and-19) det(sermon-24, a-20) amod(sermon-24, plain-21) amod(sermon-24, practical-23) nmod:with(commenced-2, sermon-24) conj:and(singing-5, sermon-24) nmod:in(set-44, sermon-24) case(which-27, in-26) ref(sermon-24, which-27) det(doctrines-30, the-28) amod(doctrines-30, great-29) nsubjpass(set-44, doctrines-30) case(justification-32, of-31) nmod:of(doctrines-30, justification-32) case(faith-34, by-33) nmod:by(justification-32, faith-34) amod(repentance-37, evangelical-36) nmod:by(justification-32, repentance-37) conj:and(faith-34, repentance-37) cc(faith-34, and-39) det(birth-42, the-40) amod(birth-42, new-41) nmod:by(justification-32, birth-42) conj:and(faith-34, birth-42) auxpass(set-44, were-43) acl:relcl(sermon-24, set-44) compound:prt(set-44, forth-45) case(language-49, in-46) det(language-49, the-47) amod(language-49, simplest-48) nmod:in(set-44, language-49)  ",singing,5,"case(singing-5, with-4) ref(singing-5, which-7) acl:relcl(singing-5, attracted-9) acl:relcl(singing-5, followed-15) cc(singing-5, and-19) conj:and(singing-5, sermon-24) nmod:with(commenced-2, singing-5) nsubj(attracted-9, singing-5) nsubjpass(followed-15, singing-5) ","They commenced always with singing , which quickly attracted a",NN,[],attracted,VBD,subject,[],[],[],[],[],[],"[('with', 'commenced')]",['with'],['commenced'],[],[],"[('and', 'sermon')]",[],[],[],[],[],['with'],[],[],,,singular,ambiguous
"The men listened with the deepest attention and seemed very reluctant to leave the ground when the benediction was pronounced -- sometimes spending hours in singing hymns , and earnest religious conversation.","The/DT men/NNS listened/VBD with/IN the/DT deepest/JJS attention/NN and/CC seemed/VBD very/RB reluctant/JJ to/TO leave/VB the/DT ground/NN when/WRB the/DT benediction/NN was/VBD pronounced/VBN --/: sometimes/RB spending/VBG hours/NNS in/IN singing/NN hymns/NNS ,/, and/CC earnest/JJ religious/JJ conversation/NN ./.","det(men-2, The-1) nsubj(listened-3, men-2) nsubj(seemed-9, men-2) root(ROOT-0, listened-3) case(attention-7, with-4) det(attention-7, the-5) amod(attention-7, deepest-6) nmod:with(listened-3, attention-7) cc(listened-3, and-8) conj:and(listened-3, seemed-9) advmod(reluctant-11, very-10) xcomp(seemed-9, reluctant-11) mark(leave-13, to-12) xcomp(reluctant-11, leave-13) det(ground-15, the-14) dobj(leave-13, ground-15) advmod(pronounced-20, when-16) det(benediction-18, the-17) nsubjpass(pronounced-20, benediction-18) auxpass(pronounced-20, was-19) acl:relcl(ground-15, pronounced-20) advmod(hours-24, sometimes-22) amod(hours-24, spending-23) dobj(leave-13, hours-24) conj:and(ground-15, hours-24) case(hymns-27, in-25) compound(hymns-27, singing-26) nmod:in(hours-24, hymns-27) cc(ground-15, and-29) amod(conversation-32, earnest-30) amod(conversation-32, religious-31) dobj(leave-13, conversation-32) conj:and(ground-15, conversation-32)  ",singing,26,"compound(hymns-27, singing-26) ","-- sometimes spending hours in singing hymns , and earnest religious",NN,[],,,,,[],[],[],[],[],[],[],[],[],[],[],['hymns'],[],[],[],[],[],[],[],,,singular,
"In these attempts it failed , and the nightly clapping and singing in the neighborhoods was symptomatic of the continued defiance of military occupation .","In/IN these/DT attempts/NNS it/PRP failed/VBD ,/, and/CC the/DT nightly/JJ clapping/NN and/CC singing/NN in/IN the/DT neighborhoods/NNS was/VBD symptomatic/JJ of/IN the/DT continued/VBN defiance/NN of/IN military/JJ occupation/NN ./.","case(attempts-3, In-1) det(attempts-3, these-2) nmod:in(failed-5, attempts-3) nsubj(failed-5, it-4) root(ROOT-0, failed-5) cc(failed-5, and-7) det(clapping-10, the-8) amod(clapping-10, nightly-9) nsubj(symptomatic-17, clapping-10) cc(clapping-10, and-11) conj:and(clapping-10, singing-12) nsubj(symptomatic-17, singing-12) case(neighborhoods-15, in-13) det(neighborhoods-15, the-14) nmod:in(clapping-10, neighborhoods-15) cop(symptomatic-17, was-16) conj:and(failed-5, symptomatic-17) case(defiance-21, of-18) det(defiance-21, the-19) amod(defiance-21, continued-20) nmod:of(symptomatic-17, defiance-21) case(occupation-24, of-22) amod(occupation-24, military-23) nmod:of(defiance-21, occupation-24)  ",singing,12,"conj:and(clapping-10, singing-12) nsubj(symptomatic-17, singing-12) ",and the nightly clapping and singing in the neighborhoods was symptomatic,NN,[],was,VBD,subject,[],[],[],[],[],[],[],[],[],[],[],"[('and', 'clapping')]",[],[],[],[],[],[],[],[],,,singular,ambiguous
"While Minami wished to return to singing , if only on a part-time basis , she said that the demands of motherhood , particularly those imposed by her child 's attendance at nursery school , frustrated this desire .","While/IN Minami/NNP wished/VBD to/TO return/VB to/TO singing/NN ,/, if/IN only/RB on/IN a/DT part-time/JJ basis/NN ,/, she/PRP said/VBD that/IN the/DT demands/NNS of/IN motherhood/NN ,/, particularly/RB those/DT imposed/VBN by/IN her/PRP$ child/NN 's/POS attendance/NN at/IN nursery/NN school/NN ,/, frustrated/VBD this/DT desire/NN ./.","mark(wished-3, While-1) nsubj(wished-3, Minami-2) nsubj(return-5, Minami-2) nsubj(return-5', Minami-2) advcl(said-17, wished-3) mark(return-5, to-4) xcomp(wished-3, return-5) xcomp(wished-3, return-5') conj:only(return-5, return-5') case(singing-7, to-6) nmod:to(return-5, singing-7) dep(only-10, if-9) cc(return-5, only-10) case(basis-14, on-11) det(basis-14, a-12) amod(basis-14, part-time-13) nmod:on(return-5', basis-14) nsubj(said-17, she-16) root(ROOT-0, said-17) mark(frustrated-36, that-18) det(demands-20, the-19) nsubj(frustrated-36, demands-20) case(motherhood-22, of-21) nmod:of(demands-20, motherhood-22) advmod(school-34, particularly-24) det(school-34, those-25) amod(school-34, imposed-26) case(attendance-31, by-27) nmod:poss(child-29, her-28) nmod:poss(attendance-31, child-29) case(child-29, 's-30) nmod:by(imposed-26, attendance-31) case(nursery-33, at-32) nmod:at(attendance-31, nursery-33) appos(demands-20, school-34) ccomp(said-17, frustrated-36) det(desire-38, this-37) dobj(frustrated-36, desire-38)  ",singing,7,"case(singing-7, to-6) nmod:to(return-5, singing-7) ","Minami wished to return to singing , if only on a",NN,[],,,,,[],[],[],[],[],"[('to', 'return')]",['to'],['return'],[],[],[],[],[],[],[],[],['to'],[],[],,,singular,
"Secretly snatching only minutes out of any day to practice , Minami missed singing and told me that being a mother in Japan means the exclusion of almost anything else.","Secretly/RB snatching/VBG only/JJ minutes/NNS out/RP of/IN any/DT day/NN to/TO practice/NN ,/, Minami/NNP missed/VBD singing/NN and/CC told/VBD me/PRP that/IN being/VBG a/DT mother/NN in/IN Japan/NNP means/VBZ the/DT exclusion/NN of/IN almost/RB anything/NN else/RB ./.","advmod(snatching-2, Secretly-1) advcl(missed-13, snatching-2) amod(minutes-4, only-3) dobj(snatching-2, minutes-4) compound:prt(snatching-2, out-5) case(day-8, of-6) det(day-8, any-7) nmod:of(snatching-2, day-8) case(practice-10, to-9) nmod:to(day-8, practice-10) nsubj(missed-13, Minami-12) nsubj(told-16, Minami-12) root(ROOT-0, missed-13) dobj(missed-13, singing-14) cc(missed-13, and-15) conj:and(missed-13, told-16) dobj(told-16, me-17) mark(means-24, that-18) cop(mother-21, being-19) det(mother-21, a-20) csubj(means-24, mother-21) case(Japan-23, in-22) nmod:in(mother-21, Japan-23) ccomp(told-16, means-24) det(exclusion-26, the-25) dobj(means-24, exclusion-26) case(anything-29, of-27) advmod(anything-29, almost-28) nmod:of(exclusion-26, anything-29) advmod(anything-29, else-30)  ",singing,14,"dobj(missed-13, singing-14) ","to practice , Minami missed singing and told me that being",NN,[],missed,VBD,object,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous
"These young Pamplonans scandalize the rest of "" Spain "" by singing , dancing , eating , drinking , and literally turning their backs on the center of the ring -- acting as if they are not paying attention .","These/DT young/JJ Pamplonans/NNS scandalize/VBP the/DT rest/NN of/IN ''/'' Spain/NNP ''/'' by/IN singing/VBG ,/, dancing/VBG ,/, eating/VBG ,/, drinking/VBG ,/, and/CC literally/RB turning/VBG their/PRP$ backs/NNS on/IN the/DT center/NN of/IN the/DT ring/NN --/: acting/VBG as/RB if/IN they/PRP are/VBP not/RB paying/VBG attention/NN ./.","det(Pamplonans-3, These-1) amod(Pamplonans-3, young-2) nsubj(scandalize-4, Pamplonans-3) root(ROOT-0, scandalize-4) det(rest-6, the-5) dobj(scandalize-4, rest-6) case(Spain-9, of-7) nmod:of(rest-6, Spain-9) mark(singing-12, by-11) advcl(scandalize-4, singing-12) advcl(scandalize-4, dancing-14) conj:and(singing-12, dancing-14) advcl(scandalize-4, eating-16) conj:and(singing-12, eating-16) advcl(scandalize-4, drinking-18) conj:and(singing-12, drinking-18) cc(singing-12, and-20) advmod(turning-22, literally-21) advcl(scandalize-4, turning-22) conj:and(singing-12, turning-22) nmod:poss(backs-24, their-23) dobj(turning-22, backs-24) case(center-27, on-25) det(center-27, the-26) nmod:on(turning-22, center-27) case(ring-30, of-28) det(ring-30, the-29) nmod:of(center-27, ring-30) parataxis(turning-22, acting-32) mark(paying-38, as-33) mwe(as-33, if-34) nsubj(paying-38, they-35) aux(paying-38, are-36) neg(paying-38, not-37) advcl(acting-32, paying-38) dobj(paying-38, attention-39)  ",singing,12,"mark(singing-12, by-11) conj:and(singing-12, dancing-14) conj:and(singing-12, eating-16) conj:and(singing-12, drinking-18) cc(singing-12, and-20) conj:and(singing-12, turning-22) advcl(scandalize-4, singing-12) ","of "" Spain "" by singing , dancing , eating ,",VBG,[],,,,,[],[],[],['by'],[],[],[],[],[],[],"[('and', 'dancing'), ('and', 'eating'), ('and', 'drinking'), ('and', 'turning')]",[],[],[],[],[],[],[],[],,,,
"Five children danced with hoops decorated with flowers , singing , "" Today is a birthday ... today is Orit 's birthday . ""","Five/CD children/NNS danced/VBN with/IN hoops/NNS decorated/VBN with/IN flowers/NNS ,/, singing/NN ,/, ''/'' Today/NN is/VBZ a/DT birthday/NN .../: today/NN is/VBZ Orit/NNP 's/POS birthday/NN ./. ''/''","nummod(children-2, Five-1) nsubj(birthday-16, children-2) acl(children-2, danced-3) case(hoops-5, with-4) nmod:with(danced-3, hoops-5) acl(hoops-5, decorated-6) case(flowers-8, with-7) nmod:with(decorated-6, flowers-8) appos(flowers-8, singing-10) nmod:tmod(birthday-16, Today-13) cop(birthday-16, is-14) det(birthday-16, a-15) root(ROOT-0, birthday-16) nsubj(birthday-22, today-18) cop(birthday-22, is-19) nmod:poss(birthday-22, Orit-20) case(Orit-20, 's-21) parataxis(birthday-16, birthday-22)  ",singing,10,"appos(flowers-8, singing-10) ","hoops decorated with flowers , singing , "" Today is a",NN,[],,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['modifier', 'flowers']",,,singular,
Suppose them no otherwise employed than by singing in the choir .,Suppose/VB them/PRP no/RB otherwise/RB employed/VBN than/IN by/IN singing/NN in/IN the/DT choir/NN ./.,"root(ROOT-0, Suppose-1) nsubj(employed-5, them-2) neg(otherwise-4, no-3) dep(employed-5, otherwise-4) xcomp(Suppose-1, employed-5) case(singing-8, than-6) case(singing-8, by-7) nmod:by(employed-5, singing-8) case(choir-11, in-9) det(choir-11, the-10) nmod:in(singing-8, choir-11)  ",singing,8,"case(singing-8, than-6) case(singing-8, by-7) nmod:in(singing-8, choir-11) nmod:by(employed-5, singing-8) ",no otherwise employed than by singing in the choir .,NN,[],,,,,[],[],[],[],[],"[('in', 'choir'), ('by', 'employed')]","['in', 'by']",['employed'],['choir'],[],[],[],[],[],[],[],"['than', 'by']",[],[],,,singular,
"This is followed by snack time , time outside , and a circle time for singing songs , reading stories , and playing large muscles games .","This/DT is/VBZ followed/VBN by/IN snack/NN time/NN ,/, time/NN outside/NN ,/, and/CC a/DT circle/NN time/NN for/IN singing/VBG songs/NNS ,/, reading/VBG stories/NNS ,/, and/CC playing/VBG large/JJ muscles/NNS games/NNS ./.","nsubjpass(followed-3, This-1) auxpass(followed-3, is-2) root(ROOT-0, followed-3) case(time-6, by-4) compound(time-6, snack-5) nmod:by(followed-3, time-6) compound(outside-9, time-8) nmod:by(followed-3, outside-9) conj:and(time-6, outside-9) cc(time-6, and-11) det(time-14, a-12) compound(time-14, circle-13) nmod:by(followed-3, time-14) conj:and(time-6, time-14) mark(singing-16, for-15) advcl(followed-3, singing-16) dobj(singing-16, songs-17) advcl(followed-3, reading-19) conj:and(singing-16, reading-19) dobj(reading-19, stories-20) cc(singing-16, and-22) advcl(followed-3, playing-23) conj:and(singing-16, playing-23) amod(games-26, large-24) compound(games-26, muscles-25) dobj(playing-23, games-26)  ",singing,16,"mark(singing-16, for-15) dobj(singing-16, songs-17) conj:and(singing-16, reading-19) cc(singing-16, and-22) conj:and(singing-16, playing-23) advcl(followed-3, singing-16) ","and a circle time for singing songs , reading stories ,",VBG,[],,,,,['songs'],[],[],['for'],[],[],[],[],[],[],"[('and', 'reading'), ('and', 'playing')]",[],[],[],[],[],[],[],[],,,,
"People rose and led others in mumbling conversation , singing , whispers , clapping .","People/NNS rose/VBD and/CC led/VBD others/NNS in/IN mumbling/VBG conversation/NN ,/, singing/NN ,/, whispers/NNS ,/, clapping/JJ ./.","nsubj(rose-2, People-1) nsubj(led-4, People-1) root(ROOT-0, rose-2) cc(rose-2, and-3) conj:and(rose-2, led-4) dobj(rose-2, others-5) mark(mumbling-7, in-6) acl(others-5, mumbling-7) nsubj(clapping-14, conversation-8) appos(conversation-8, singing-10) appos(singing-10, whispers-12) xcomp(mumbling-7, clapping-14)  ",singing,10,"appos(singing-10, whispers-12) appos(conversation-8, singing-10) ","others in mumbling conversation , singing , whispers , clapping .",NN,[],,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['modified', 'whispers', 'modifier', 'conversation']",,,singular,
"In fact , students and prospective students who can improvise harmony either at the keyboard or in singing but can not verbally label or describe the process in theoretical terms are frequently regarded as "" not knowing what they are doing . ""","In/IN fact/NN ,/, students/NNS and/CC prospective/JJ students/NNS who/WP can/MD improvise/VB harmony/NN either/CC at/IN the/DT keyboard/NN or/CC in/IN singing/NN but/CC can/MD not/RB verbally/RB label/VB or/CC describe/VB the/DT process/NN in/IN theoretical/JJ terms/NNS are/VBP frequently/RB regarded/VBN as/IN ''/'' not/RB knowing/VBG what/WP they/PRP are/VBP doing/VBG ./. ''/''","case(fact-2, In-1) nmod:as(regarded-33, fact-2) nsubjpass(regarded-33, students-4) cc(students-4, and-5) amod(students-7, prospective-6) conj:and(students-4, students-7) nsubj(improvise-10, students-7) nsubj(improvise-10', students-7) nsubj(label-23, students-7) nsubjpass(regarded-33, students-7) ref(students-7, who-8) aux(improvise-10, can-9) acl:relcl(students-7, improvise-10) acl:relcl(students-7, improvise-10') conj:or(improvise-10, improvise-10') dobj(improvise-10, harmony-11) cc:preconj(keyboard-15, either-12) case(keyboard-15, at-13) det(keyboard-15, the-14) nmod:at(improvise-10, keyboard-15) cc(improvise-10, or-16) case(singing-18, in-17) nmod:in(improvise-10', singing-18) cc(improvise-10, but-19) aux(label-23, can-20) neg(label-23, not-21) advmod(label-23, verbally-22) acl:relcl(students-7, label-23) conj:but(improvise-10, label-23) cc(label-23, or-24) conj:but(improvise-10, describe-25) conj:or(label-23, describe-25) det(process-27, the-26) dobj(label-23, process-27) case(terms-30, in-28) amod(terms-30, theoretical-29) nmod:in(process-27, terms-30) auxpass(regarded-33, are-31) advmod(regarded-33, frequently-32) root(ROOT-0, regarded-33) case(fact-2, as-34) neg(knowing-37, not-36) ccomp(regarded-33, knowing-37) dobj(doing-41, what-38) nsubj(doing-41, they-39) aux(doing-41, are-40) ccomp(knowing-37, doing-41)  ",singing,18,"case(singing-18, in-17) ",at the keyboard or in singing but can not verbally label,NN,[],,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['in'],[],[],,,singular,
"In singing or playing a familiar tune without notation , the idea has already been constructed , and one 's attention is concentrated on the correct techniques needed to produce the known sounds .","In/IN singing/VBG or/CC playing/VBG a/DT familiar/JJ tune/NN without/IN notation/NN ,/, the/DT idea/NN has/VBZ already/RB been/VBN constructed/VBN ,/, and/CC one/CD 's/POS attention/NN is/VBZ concentrated/VBN on/IN the/DT correct/JJ techniques/NNS needed/VBN to/TO produce/VB the/DT known/VBN sounds/NNS ./.","mark(singing-2, In-1) advcl(constructed-16, singing-2) cc(singing-2, or-3) conj:or(singing-2, playing-4) advcl(constructed-16, playing-4) det(tune-7, a-5) amod(tune-7, familiar-6) dobj(singing-2, tune-7) case(notation-9, without-8) nmod:without(singing-2, notation-9) det(idea-12, the-11) nsubjpass(constructed-16, idea-12) aux(constructed-16, has-13) advmod(constructed-16, already-14) auxpass(constructed-16, been-15) root(ROOT-0, constructed-16) cc(constructed-16, and-18) nmod:poss(attention-21, one-19) case(one-19, 's-20) nsubjpass(concentrated-23, attention-21) auxpass(concentrated-23, is-22) conj:and(constructed-16, concentrated-23) case(techniques-27, on-24) det(techniques-27, the-25) amod(techniques-27, correct-26) nmod:on(concentrated-23, techniques-27) acl(techniques-27, needed-28) mark(produce-30, to-29) xcomp(needed-28, produce-30) det(sounds-33, the-31) amod(sounds-33, known-32) dobj(produce-30, sounds-33)  ",singing,2,"mark(singing-2, In-1) cc(singing-2, or-3) conj:or(singing-2, playing-4) dobj(singing-2, tune-7) nmod:without(singing-2, notation-9) advcl(constructed-16, singing-2) ",In singing or playing a familiar tune,VBG,[],,,,,['tune'],[],[],['In'],[],"[('without', 'notation')]",['without'],[],['notation'],[],"[('or', 'playing')]",[],[],[],[],[],[],[],[],,,,
"Those individuals not only hear and understand the flow of the melodic line , they perceive the harmony that is implied by that melody , and they modify those perceptions through their recognition of the sounds of the accompaniment and others who are singing .","Those/DT individuals/NNS not/RB only/JJ hear/VBP and/CC understand/VBP the/DT flow/NN of/IN the/DT melodic/JJ line/NN ,/, they/PRP perceive/VBP the/DT harmony/NN that/WDT is/VBZ implied/VBN by/IN that/DT melody/NN ,/, and/CC they/PRP modify/VB those/DT perceptions/NNS through/IN their/PRP$ recognition/NN of/IN the/DT sounds/NNS of/IN the/DT accompaniment/NN and/CC others/NNS who/WP are/VBP singing/VBG ./.","det(individuals-2, Those-1) root(ROOT-0, individuals-2) neg(only-4, not-3) dep(individuals-2, only-4) conj:and(individuals-2, hear-5) cc(hear-5, and-6) conj:and(individuals-2, understand-7) conj:and(hear-5, understand-7) det(flow-9, the-8) dobj(hear-5, flow-9) case(line-13, of-10) det(line-13, the-11) amod(line-13, melodic-12) nmod:of(flow-9, line-13) nsubj(perceive-16, they-15) dep(hear-5, perceive-16) det(harmony-18, the-17) dobj(perceive-16, harmony-18) nsubjpass(implied-21, harmony-18) ref(harmony-18, that-19) auxpass(implied-21, is-20) acl:relcl(harmony-18, implied-21) case(melody-24, by-22) det(melody-24, that-23) nmod:by(implied-21, melody-24) cc(individuals-2, and-26) nsubj(modify-28, they-27) conj:and(individuals-2, modify-28) det(perceptions-30, those-29) dobj(modify-28, perceptions-30) case(recognition-33, through-31) nmod:poss(recognition-33, their-32) nmod:through(modify-28, recognition-33) case(sounds-36, of-34) det(sounds-36, the-35) nmod:of(recognition-33, sounds-36) case(accompaniment-39, of-37) det(accompaniment-39, the-38) nmod:of(sounds-36, accompaniment-39) cc(recognition-33, and-40) nmod:through(modify-28, others-41) conj:and(recognition-33, others-41) nsubj(singing-44, others-41) ref(others-41, who-42) aux(singing-44, are-43) acl:relcl(others-41, singing-44)  ",singing,44,"nsubj(singing-44, others-41) aux(singing-44, are-43) acl:relcl(others-41, singing-44) ",accompaniment and others who are singing .,VBG,[],,,,,[],[],[],[],['others'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,
"The purposeful movements may be coordinated to produce sounds with the body , as when singing or clapping , or with an instrument .","The/DT purposeful/JJ movements/NNS may/MD be/VB coordinated/VBN to/TO produce/VB sounds/NNS with/IN the/DT body/NN ,/, as/IN when/WRB singing/VBG or/CC clapping/VBG ,/, or/CC with/IN an/DT instrument/NN ./.","det(movements-3, The-1) amod(movements-3, purposeful-2) nsubjpass(coordinated-6, movements-3) nsubj(produce-8, movements-3) aux(coordinated-6, may-4) auxpass(coordinated-6, be-5) root(ROOT-0, coordinated-6) mark(produce-8, to-7) xcomp(coordinated-6, produce-8) dobj(produce-8, sounds-9) case(body-12, with-10) det(body-12, the-11) nmod:with(produce-8, body-12) mark(singing-16, as-14) advmod(singing-16, when-15) nmod(coordinated-6, singing-16) cc(singing-16, or-17) nmod(coordinated-6, clapping-18) conj:or(singing-16, clapping-18) cc(singing-16, or-20) case(instrument-23, with-21) det(instrument-23, an-22) nmod(coordinated-6, instrument-23) conj:or(singing-16, instrument-23)  ",singing,16,"mark(singing-16, as-14) advmod(singing-16, when-15) cc(singing-16, or-17) conj:or(singing-16, clapping-18) cc(singing-16, or-20) conj:or(singing-16, instrument-23) nmod(coordinated-6, singing-16) ","the body , as when singing or clapping , or with",VBG,[],,,,,[],[],[],['as'],[],[],[],[],[],[],"[('or', 'clapping'), ('or', 'instrument')]",[],[],[],[],[],[],['when'],[],,,,
"<p> General music teachers -- during your group singing activities , do you really know which children are singing in tune and which ones are fumbling around in the limbo of half speaking/half droning ?","<p>/JJ General/NNP music/NN teachers/NNS --/: during/IN your/PRP$ group/NN singing/NN activities/NNS ,/, do/VBP you/PRP really/RB know/VB which/WDT children/NNS are/VBP singing/VBG in/IN tune/NN and/CC which/WDT ones/NNS are/VBP fumbling/VBG around/RP in/IN the/DT limbo/NN of/IN half/DT speaking/half/NN droning/NN ?/.","amod(teachers-4, <p>-1) compound(teachers-4, General-2) compound(teachers-4, music-3) nmod:during(know-15, teachers-4) case(teachers-4, during-6) nmod:poss(activities-10, your-7) compound(activities-10, group-8) compound(activities-10, singing-9) dep(teachers-4, activities-10) aux(know-15, do-12) nsubj(know-15, you-13) advmod(know-15, really-14) root(ROOT-0, know-15) dobj(singing-19, which-16) nsubj(singing-19, children-17) aux(singing-19, are-18) dep(know-15, singing-19) case(tune-21, in-20) nmod:in(singing-19, tune-21) cc(singing-19, and-22) dobj(fumbling-26, which-23) nsubj(fumbling-26, ones-24) aux(fumbling-26, are-25) dep(know-15, fumbling-26) conj:and(singing-19, fumbling-26) compound:prt(fumbling-26, around-27) case(limbo-30, in-28) det(limbo-30, the-29) nmod:in(fumbling-26, limbo-30) case(droning-34, of-31) det(droning-34, half-32) compound(droning-34, speaking/half-33) nmod:of(limbo-30, droning-34)  ",singing,9,"compound(activities-10, singing-9) ","teachers -- during your group singing activities , do you really",NN,[],,,,,[],[],[],[],[],[],[],[],[],[],[],['activities'],[],[],[],[],[],[],[],,,singular,
